datetime,open,high,low,close,volume,spread,real_volume
2015-01-02 08:00:00+00:00,1185.87,1187.92,1184.59,1186.52,2334,50,0
2015-01-02 12:00:00+00:00,1186.62,1186.92,1173.28,1176.98,6635,50,0
2015-01-02 16:00:00+00:00,1176.96,1194.86,1167.45,1192.06,12968,50,0
2015-01-02 20:00:00+00:00,1192.11,1192.66,1182.13,1187.3,4863,50,0
2015-01-03 00:00:00+00:00,1187.34,1189.1,1186.94,1188.4,580,50,0
2015-01-05 00:00:00+00:00,1187.74,1189.9,1177.94,1189.68,3565,50,0
2015-01-05 04:00:00+00:00,1189.87,1194.24,1189.6,1191.6,4774,50,0
2015-01-05 08:00:00+00:00,1191.5,1197.72,1191.3,1193.49,5255,50,0
2015-01-05 12:00:00+00:00,1193.6,1195.84,1186.65,1188.98,5703,50,0
2015-01-05 16:00:00+00:00,1189.01,1202.49,1186.63,1196.37,15823,50,0
2015-01-05 20:00:00+00:00,1196.32,1207.38,1195.71,1205.68,6072,50,0
2015-01-06 00:00:00+00:00,1205.54,1206.38,1201.59,1203.11,1559,50,0
2015-01-06 04:00:00+00:00,1203.13,1208.05,1202.35,1206.48,3291,50,0
2015-01-06 08:00:00+00:00,1206.54,1212.35,1205.15,1211.6,5925,50,0
2015-01-06 12:00:00+00:00,1211.69,1214.18,1207.96,1209.98,6362,50,0
2015-01-06 16:00:00+00:00,1210.2,1223.05,1205.3,1219.44,15023,50,0
2015-01-06 20:00:00+00:00,1219.5,1221.22,1214.3,1218.8,10270,50,0
2015-01-07 00:00:00+00:00,1218.85,1219.64,1214.97,1218.0,1876,50,0
2015-01-07 04:00:00+00:00,1217.97,1218.05,1213.92,1215.06,2977,50,0
2015-01-07 08:00:00+00:00,1215.05,1216.35,1211.87,1214.62,4330,50,0
2015-01-07 12:00:00+00:00,1214.64,1218.11,1210.89,1212.65,5750,50,0
2015-01-07 16:00:00+00:00,1212.6,1216.38,1208.83,1211.93,13031,50,0
2015-01-07 20:00:00+00:00,1212.01,1216.58,1209.4,1212.11,7630,50,0
2015-01-08 00:00:00+00:00,1212.1,1213.69,1209.76,1212.47,1287,50,0
2015-01-08 04:00:00+00:00,1212.53,1214.08,1204.74,1207.18,3715,50,0
2015-01-08 08:00:00+00:00,1207.1,1210.05,1205.46,1207.18,3687,50,0
2015-01-08 12:00:00+00:00,1207.21,1211.03,1204.33,1209.86,4366,50,0
