strategy_name,timeframe,direction,max_holding_bars,total_signals,median_mfe_atr,p75_mfe_atr,p90_mfe_atr,p95_mfe_atr,median_mae_atr,p75_mae_atr,p90_mae_atr,median_bars_to_mfe,p75_bars_to_mfe,average_close_pnl_at_horizon_atr,median_close_pnl_at_horizon_atr,reached_2r_rate,reached_3r_rate,reached_5r_rate,reached_8r_rate,reached_12r_rate,touched_minus_1r_rate,touched_minus_1_5r_rate,touched_minus_2r_rate,touched_minus_2_5r_rate,touched_minus_3r_rate
donchian_100,H1,long,24,1919,2.4216982555148077,4.515174457906216,6.711971684945201,8.719657832628846,2.1485940359435602,3.769119317998488,6.012182776714549,12.0,21.0,0.4314848129110244,0.2335528245214135,0.5659197498697238,0.40906722251172484,0.20323084940072955,0.06618030224075039,0.013027618551328817,0.7347576862949453,0.6185513288170922,0.52892131318395,0.42365815528921313,0.34966128191766543
donchian_100,H1,long,48,1919,3.7168941879399258,6.403766087114243,9.603280821164045,11.842274078182786,3.1301660594176424,5.537364641090415,8.485091355390278,24.0,43.0,0.631364808499451,0.3427985243988579,0.6982803543512246,0.5815528921313184,0.36685773840541946,0.15737363210005212,0.04637832204273059,0.825951016154247,0.7415320479416363,0.6696195935383012,0.5841584158415841,0.5143303804064617
donchian_100,H1,long,72,1918,4.733286214751313,7.903628153387464,12.279488817502378,16.707420603999537,3.8527094287128314,6.72853245608154,10.389636221686468,38.0,62.0,0.8503888376102747,0.42504481506588193,0.7497393117831074,0.651199165797706,0.467674661105318,0.24661105318039625,0.10531803962460896,0.8581856100104275,0.7883211678832117,0.7283628779979145,0.6579770594369134,0.5948905109489051
donchian_100,H1,long,120,1918,6.307187370075624,10.724328849212657,16.311398968942296,23.902664842269953,5.013463457088473,8.832922999990881,13.837704711048383,58.0,102.0,1.2321848011228356,0.6351109953234799,0.8154327424400417,0.7424400417101147,0.5948905109489051,0.3894681960375391,0.19238790406673617,0.9014598540145985,0.8477580813347236,0.8013555787278415,0.7429614181438999,0.6923879040667362
donchian_100,H1,long,240,1918,9.184647027819693,16.182713312517638,27.254064642752514,35.72061493813478,6.718329616326488,12.957553000896475,20.559991115984303,123.0,204.0,2.19047233061343,1.1257532864401347,0.8665276329509907,0.8128258602711157,0.708029197080292,0.5531803962460897,0.3691345151199166,0.9223149113660063,0.883733055265902,0.8482794577685089,0.8034410844629822,0.7685088633993743
donchian_100,H1,long,480,1918,12.74195356985756,25.861425265147982,44.91694554935186,55.4507376372457,10.069044384798712,17.684712360903717,27.698319348540085,252.5,412.0,4.917937932356964,2.3707305333564537,0.9098018769551617,0.8717413972888426,0.7956204379562044,0.6767466110531803,0.5192909280500522,0.9389989572471324,0.9077163712200208,0.8790406673618353,0.8472367049009385,0.8175182481751825
donchian_100,H1,short,24,1132,2.132138149474314,3.778581772098554,6.230953606860414,8.214557308969962,2.0424847403132924,3.5064418588869577,5.230578941862973,9.0,19.0,0.05789200888306178,-0.18565924260034908,0.5141342756183745,0.35335689045936397,0.15459363957597172,0.05653710247349823,0.019434628975265017,0.7385159010600707,0.6139575971731449,0.5123674911660777,0.40724381625441697,0.31537102473498235
donchian_100,H1,short,48,1129,2.882599077273159,5.069881559507174,8.32740823021255,11.467997639422316,2.90235453508909,5.131976814308165,8.126000650422512,19.0,39.0,-0.08974838684708591,-0.3357162558386253,0.6350752878653676,0.47564216120460584,0.25066430469441986,0.10894596988485385,0.045172719220549155,0.8157661647475642,0.7192205491585474,0.6465899025686448,0.5677590788308238,0.48804251550044286
donchian_100,H1,short,72,1129,3.764626102001771,6.641781729216684,10.828056732125864,15.141361206801063,3.799482111333815,6.634299396220602,9.658915395832794,31.0,60.0,0.03364574336899023,-0.4267020306579582,0.7068201948627104,0.5801594331266607,0.36581045172719223,0.183348095659876,0.08237378210806023,0.8511957484499557,0.7821080602302923,0.7218777679362267,0.6563330380868024,0.5987599645704162
donchian_100,H1,short,120,1129,4.635223990339915,8.627204986756688,14.232960424799696,19.03638114055633,4.900114614914828,8.497261949256725,12.595905688159982,53.0,94.0,-0.34235175298600456,-0.8469106669532049,0.7661647475642162,0.662533215234721,0.46235606731620904,0.2807794508414526,0.1328609388839681,0.8839681133746679,0.8272807794508414,0.7829937998228521,0.7245349867139061,0.6829052258635961
donchian_100,H1,short,240,1117,6.523725862181339,11.719156015417362,17.9950363693528,22.364579741399723,7.427262335340742,13.535589296718317,18.833544756863752,85.0,180.0,-2.0792404552038675,-1.8127643300731207,0.8128916741271263,0.7412712623097583,0.594449418084154,0.41271262309758283,0.23992837958818264,0.927484333034915,0.891674127126231,0.8603401969561325,0.8200537153088631,0.7851387645478961
donchian_100,H1,short,480,1110,8.180205802515864,16.158648541320698,24.296599280948048,29.831575772864344,11.010308248206993,19.738893255811348,32.877342028873436,115.0,333.75,-4.479627790323434,-4.072822686769356,0.8504504504504504,0.7837837837837838,0.6522522522522523,0.5072072072072072,0.35495495495495494,0.9576576576576576,0.9369369369369369,0.9126126126126126,0.8936936936936937,0.8711711711711712
donchian_100,H4,long,12,606,1.9982990594694938,3.3399459941549705,5.0053917324175305,6.641139781710304,1.5166177107232324,2.708099985713213,4.100107270650884,6.0,11.0,0.4563830715695214,0.41098587792912744,0.5,0.3118811881188119,0.10231023102310231,0.028052805280528052,0.006600660066006601,0.6666666666666666,0.504950495049505,0.3844884488448845,0.27722772277227725,0.21287128712871287
donchian_100,H4,long,24,606,2.9112984726728075,5.006092663562713,8.551430357992132,11.446232846976272,2.2031755360696175,3.768648338909533,5.775914927744926,13.0,20.75,0.6438937133080322,0.16585778307445523,0.6452145214521452,0.48514851485148514,0.2508250825082508,0.11221122112211221,0.0429042904290429,0.764026402640264,0.6485148514851485,0.5379537953795379,0.44554455445544555,0.3580858085808581
donchian_100,H4,long,48,606,4.526465941014605,7.745589100008865,11.99236436438571,15.31722715280924,3.104740811923513,5.621744402566254,9.03156158779091,25.5,42.0,1.1065048620591846,0.8857222870943884,0.7524752475247525,0.6452145214521452,0.4570957095709571,0.22772277227722773,0.10066006600660066,0.8267326732673267,0.7343234323432343,0.6534653465346535,0.5775577557755776,0.5198019801980198
donchian_100,H4,long,72,606,5.717810152545889,10.314077194192347,15.443544347001948,19.869522144907656,3.581022870706092,7.040309108981765,10.779818224450203,36.5,62.0,1.8721213832880383,1.2571008919634616,0.7970297029702971,0.7029702970297029,0.5396039603960396,0.3465346534653465,0.19141914191419143,0.8498349834983498,0.764026402640264,0.6897689768976898,0.6287128712871287,0.5742574257425742
donchian_100,H4,long,120,606,7.632298668832906,14.986337542845941,23.32984980895212,27.272409742829186,4.762897207790202,9.50712049529027,14.704308204412431,63.5,105.0,2.777554885099931,2.503448314502299,0.8547854785478548,0.7854785478547854,0.6501650165016502,0.4735973597359736,0.32673267326732675,0.8795379537953796,0.8135313531353136,0.7491749174917491,0.7062706270627063,0.6600660066006601
donchian_100,H4,long,240,606,11.190326127113227,23.05228478432505,33.58059790451955,38.8506405878863,6.03472722532425,11.206113651437317,17.381308701695726,132.5,201.75,5.6143846455048925,4.634148840561487,0.9026402640264026,0.8547854785478548,0.7524752475247525,0.6204620462046204,0.47029702970297027,0.8960396039603961,0.8399339933993399,0.7805280528052805,0.7442244224422442,0.7046204620462047
donchian_100,H4,short,12,315,1.4488877645449063,2.534573638042125,3.833810301294103,5.454438554665478,1.5586050640961258,2.620729566302476,3.587537145711295,5.0,10.0,-0.06915380644656312,-0.23231745360442385,0.3619047619047619,0.1873015873015873,0.06031746031746032,0.015873015873015872,0.006349206349206349,0.6825396825396826,0.5238095238095238,0.37777777777777777,0.26666666666666666,0.18412698412698414
donchian_100,H4,short,24,315,2.2092417655196344,3.487674487141127,6.148351201332397,9.001129469135035,2.1907028403377002,3.6115754142172145,5.179758433020041,11.0,19.5,-0.017476984509572965,-0.11053404280393815,0.5333333333333333,0.3238095238095238,0.11428571428571428,0.06031746031746032,0.022222222222222223,0.7968253968253968,0.6761904761904762,0.5523809523809524,0.44126984126984126,0.35555555555555557
donchian_100,H4,short,48,313,2.805526278875732,4.362132070136889,6.900256958611488,9.263455632670723,3.456089228193008,5.3146829981040735,7.6590038670711875,18.0,33.0,-1.0458069563401526,-1.357153516823109,0.6357827476038339,0.46645367412140576,0.16613418530351437,0.07028753993610223,0.022364217252396165,0.8817891373801917,0.8083067092651757,0.7284345047923323,0.6485623003194888,0.5750798722044729
donchian_100,H4,short,72,306,3.1683156154766134,5.292986057846103,8.290080617263735,10.379508223857682,4.5836322610784705,7.318676184748375,9.975375090248665,21.0,48.0,-1.876687998661401,-1.9496518181707785,0.6699346405228758,0.5392156862745098,0.2647058823529412,0.10457516339869281,0.03594771241830065,0.934640522875817,0.8856209150326797,0.8366013071895425,0.7712418300653595,0.7091503267973857
donchian_100,H4,short,120,304,3.6742867812025946,7.3273687678436366,10.758666167439472,12.420485300811764,6.325201103765127,10.18170193240082,16.268160836099675,26.0,82.5,-3.268440614208756,-2.8036331205643292,0.7105263157894737,0.5855263157894737,0.33881578947368424,0.22039473684210525,0.0625,0.9539473684210527,0.9276315789473685,0.9013157894736842,0.8552631578947368,0.8092105263157895
donchian_100,H4,short,240,301,4.772761070858872,10.575806428714232,15.199087330870853,18.068127754556425,8.363241547581923,15.661699699643181,23.01084713718838,44.0,141.0,-3.061805754740074,-1.9119704322676225,0.7674418604651163,0.6611295681063123,0.4717607973421927,0.34551495016611294,0.19601328903654486,0.9700996677740864,0.9435215946843853,0.9269102990033222,0.9036544850498339,0.867109634551495
donchian_40,H1,long,24,2859,2.371568193670594,4.416679953347109,6.566450901858842,8.222746291725288,2.1807492902529537,3.860062286717829,6.06538014453541,12.0,21.0,0.34038127790296224,0.16631018889896326,0.5575376005596362,0.3990905911157748,0.1969220006995453,0.0584120321790836,0.011192724728926198,0.7401189227002448,0.6281916754109829,0.5383001049317944,0.43196922000699545,0.360265827212312
donchian_40,H1,long,48,2859,3.632664891962032,6.378193341827592,9.327305320115483,11.663128023031469,3.1250933792058455,5.523282457386445,8.385839629605838,24.0,43.0,0.6534587206168805,0.4243902944994454,0.6988457502623295,0.5729275970619098,0.36306400839454356,0.14865337530605108,0.04512067156348373,0.8202168590416229,0.7383700594613501,0.6656173487233298,0.5799230500174887,0.5134662469394893
donchian_40,H1,long,72,2858,4.601812508965416,7.789030032375091,11.905886838568593,15.67633634518528,3.8886769521549516,6.688633383086974,10.165846551249045,38.0,62.0,0.8354166594036403,0.4046910295439452,0.7487753673897831,0.6448565430370888,0.45906228131560534,0.23792862141357593,0.09832050384884534,0.8551434569629112,0.7890132960111966,0.731630510846746,0.6599020293911827,0.5997200839748076
donchian_40,H1,long,120,2855,6.0740821776419045,10.403043397983438,15.922126119946139,21.813841667964127,4.940708019809252,8.554182939898904,13.46379417582553,60.0,102.0,1.1661163049139356,0.611365937113587,0.8143607705779334,0.7362521891418564,0.5772329246935202,0.3751313485113835,0.1807355516637478,0.8970227670753065,0.8483362521891419,0.7989492119089316,0.7411558669001751,0.691768826619965
donchian_40,H1,long,240,2852,8.973858549259806,15.619355258734759,26.10422674258677,34.38192427392418,6.601105477826653,12.755749063450699,20.256018175689704,127.5,204.0,2.077625722171407,1.0956738059766264,0.8709677419354839,0.8159186535764376,0.6984572230014026,0.5480364656381487,0.36079943899018235,0.9204067321178121,0.8842917251051894,0.8488779803646563,0.8053997194950911,0.7699859747545582
donchian_40,H1,long,480,2845,12.322257539386792,23.84415796090936,43.36584290918173,54.51707339810516,9.891486992093776,17.450893710498296,27.396366866625836,250.0,406.0,4.677775082703765,2.3465864762606534,0.9107205623901582,0.8706502636203867,0.795079086115993,0.675219683655536,0.5135325131810193,0.9349736379613357,0.9047451669595782,0.8769771528998243,0.8453427065026362,0.8172231985940246
donchian_40,H1,short,24,1939,2.0845086382970464,3.774251406022558,5.976591808620554,7.872287710780548,2.1372055172415543,3.5599760690102267,5.2631384569291955,9.0,19.0,-0.002395027105858623,-0.20048372144869395,0.5110881897885508,0.3481175863847344,0.1557503867973182,0.04847859721505931,0.01598762248581743,0.7509025270758123,0.6358947911294481,0.5317173800928313,0.4259927797833935,0.333677153171738
donchian_40,H1,short,48,1935,2.8455104487441165,5.181863428451424,8.066541722913511,10.108362325343856,2.986995240446338,5.182832200947284,8.191449644963495,20.0,39.0,-0.19739757522618295,-0.3581426763451702,0.6325581395348837,0.4764857881136951,0.2614987080103359,0.10284237726098192,0.03359173126614987,0.8237726098191215,0.7343669250645994,0.6558139534883721,0.5762273901808785,0.49767441860465117
donchian_40,H1,short,72,1933,3.6328581913468687,6.460301844366949,9.774183393693809,13.072017857830897,3.7723214955633444,6.574343616617323,9.768252226427014,30.0,58.0,-0.1699954084357227,-0.4240815198731224,0.6983962752198655,0.5644076564924987,0.3610967408173823,0.16709777547853077,0.061562338334195554,0.8577340920848422,0.7909984480082773,0.7258147956544232,0.6580444904293844,0.5995861355406105
donchian_40,H1,short,120,1933,4.561908737604024,8.750586114408234,13.656228079784446,17.618628244397705,4.900114614914828,8.733496194228936,13.129690579738401,52.0,95.0,-0.3997774737010535,-0.6812456612579231,0.7547853078116916,0.6518365235385412,0.4650801862390067,0.28246249353336783,0.13243662700465597,0.8867046042421107,0.8329022245214692,0.7837558199689602,0.7263321262286602,0.6823590274185204
donchian_40,H1,short,240,1921,6.437644053120047,11.73135750387595,17.548634886831362,22.57087761168105,7.279737536464856,13.174929555828761,19.25735817526642,93.0,184.0,-1.813041560212682,-1.522665434895614,0.812597605413847,0.7418011452368558,0.5965642894325872,0.415929203539823,0.23737636647579385,0.9281624154086413,0.892243623112962,0.8563248308172826,0.8162415408641333,0.7813638729828214
